Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
Latin America and Caribbean (WB),,2006,267774828,44250701,138474991,43799819,67451661
Latin America and Caribbean (WB),,2007,283202196,44495349,136784174,42523249,61340248
Latin America and Caribbean (WB),,2008,298383799,44516011,133649243,41294566,57065117
Latin America and Caribbean (WB),,2009,302252681,46226469,136600869,41040972,55267169
Latin America and Caribbean (WB),,2010,316703650,46861300,136094887,38353187,49739488
Latin America and Caribbean (WB),,2011,332049108,47501779,132849894,35809565,45876502
Latin America and Caribbean (WB),,2012,343392179,47647981,130946124,34178732,44255272
Latin America and Caribbean (WB),,2013,353816329,48046716,130305698,33915709,40598876
Latin America and Caribbean (WB),,2014,359938751,49173016,131469596,33469861,38798184
Latin America and Caribbean (WB),,2015,374991218,49028475,127297665,31143320,36407802
Latin America and Caribbean (WB),,2016,380112174,49230786,126738454,30840185,37816193
Latin America and Caribbean (WB),,2017,387723459,48423548,126437734,30109607,37720628
Latin America and Caribbean (WB),,2018,393604074,49031060,125892659,29745528,37504791
Latin America and Caribbean (WB),,2019,398878445,49126992,125296668,29309706,38350557
Latin America and Caribbean (WB),,2020,396706687,52629371,130237303,29506564,36417739
Latin America and Caribbean (WB),,2021,395873116,52008307,131413125,29351710,40588238
Latin America and Caribbean (WB),,2022,418493185,51794275,122783526,27082369,32951413
Latin America and Caribbean (WB),,2023,429451810,51286305,119934765,26678330,30266454
Latin America and Caribbean (WB),,2024,440871607,49493784,116770289,25427373,29622867
Latin America and Caribbean (WB),,2025,447399488,49004688,115710798,25035000,29450666
Latvia,LVA,1993,937959,395362,1090680,139289,0
Latvia,LVA,1995,1232563,371019,704290,123656,53528
Latvia,LVA,1996,1158236,381386,707311,117578,92711
Latvia,LVA,2004,1505248,236014,381037,58121,82702
Latvia,LVA,2005,1562734,222531,326334,57564,69636
Latvia,LVA,2006,1829346,142005,182896,20950,43160
Latvia,LVA,2007,1944112,95073,120278,22553,18309
Latvia,LVA,2008,1887618,90184,143962,21014,34544
Latvia,LVA,2009,1741466,100400,210916,33234,55653
Latvia,LVA,2010,1668289,122972,219783,32052,54459
Latvia,LVA,2011,1664751,112170,213705,34949,34134
Latvia,LVA,2012,1663334,115860,192222,33632,29271
Latvia,LVA,2013,1719849,91069,146609,24145,30975
Latvia,LVA,2014,1760553,65124,124432,21423,22250
Latvia,LVA,2015,1804635,59216,79675,13567,20434
Latvia,LVA,2016,1806546,45467,77438,11250,18836
Latvia,LVA,2017,1787873,48778,73462,13050,19085
Latvia,LVA,2018,1814844,42277,50269,9008,10776
Latvia,LVA,2019,1820239,31057,46684,9383,6459
Latvia,LVA,2020,1817455,27302,39681,6279,9732
Latvia,LVA,2021,1817703,21726,30151,5664,9246
Latvia,LVA,2022,1790732,33658,41569,5453,7971
Latvia,LVA,2023,1801646,23621,39621,4219,8338
Lebanon,LBN,2011,4726261,191978,269040,13146,3181
Lebanon,LBN,2022,2224304,620850,2000032,582550,339956
Lesotho,LSO,1986,117768,42949,269885,196398,1059254
Lesotho,LSO,1994,239055,57269,298780,188695,1154587
Lesotho,LSO,2002,52245,28326,214054,205055,1487784
Lesotho,LSO,2017,232538,116674,583604,323517,904486
Liberia,LBR,2007,91856,47932,612247,676321,2240694
Liberia,LBR,2014,297273,176611,1592529,1048945,1448935
Liberia,LBR,2016,349679,208980,1582707,1018311,1595931
Lithuania,LTU,1993,435837,271298,1776714,673255,525509
Lithuania,LTU,2004,2261467,283933,569249,128093,134333
Lithuania,LTU,2005,2532425,224482,410462,63899,91260
Lithuania,LTU,2006,2815099,127118,233112,34102,60478
Lithuania,LTU,2007,2866005,124445,176574,12521,51749
Lithuania,LTU,2008,2893884,109520,120052,16853,57922
Lithuania,LTU,2009,2630303,132897,262664,50938,86114
Lithuania,LTU,2010,2528426,199759,263150,44501,61446
Lithuania,LTU,2011,2615747,143449,220549,21412,26958
Lithuania,LTU,2012,2589494,139443,198628,30184,31390
Lithuania,LTU,2013,2640357,113712,143070,28584,35527
Lithuania,LTU,2014,2575672,131346,151825,28002,50408
Lithuania,LTU,2015,2609415,104708,153661,12883,30442
Lithuania,LTU,2016,2637443,79976,96531,20815,42560
Lithuania,LTU,2017,2650114,50008,97347,11991,33179
Lithuania,LTU,2018,2684794,38237,58400,10107,27662
Lithuania,LTU,2019,2727879,19620,42880,3748,16962
Lithuania,LTU,2020,2741898,18232,30674,6277,13288
Lithuania,LTU,2021,2752763,15311,28553,2808,8945
Lithuania,LTU,2022,2738176,18945,44387,7428,22703
Lithuania,LTU,2023,2751218,27045,57432,4362,31528
Luxembourg,LUX,1985,364966,893,847,0,0
Luxembourg,LUX,1986,367531,0,824,0,0
Luxembourg,LUX,1987,369913,0,837,0,0
Luxembourg,LUX,1988,373450,0,0,0,0
Luxembourg,LUX,1989,377100,0,0,0,0
Luxembourg,LUX,1990,381850,0,0,0,0
Luxembourg,LUX,1991,387000,0,0,0,0
Luxembourg,LUX,1992,392175,0,0,0,0
Luxembourg,LUX,1993,397475,0,0,0,0
Luxembourg,LUX,1994,402925,0,0,0,0
Luxembourg,LUX,1995,407741,0,884,0,0
Luxembourg,LUX,1996,413225,0,1000,0,0
Luxembourg,LUX,1997,418867,0,583,0,0
Luxembourg,LUX,1998,424700,0,0,0,0
Luxembourg,LUX,1999,430475,0,0,0,0
Luxembourg,LUX,2000,436300,0,0,0,0
Luxembourg,LUX,2001,441525,0,0,0,0
Luxembourg,LUX,2002,445130,1045,0,0,0
Luxembourg,LUX,2003,449199,90,1844,173,324
Luxembourg,LUX,2004,456850,817,332,13,83
Luxembourg,LUX,2005,464184,307,245,230,192
Luxembourg,LUX,2006,472003,0,616,0,18
Luxembourg,LUX,2007,479809,29,50,0,105
Luxembourg,LUX,2008,487435,408,807,0,0
Luxembourg,LUX,2009,496246,253,944,102,238
Luxembourg,LUX,2010,505450,208,1108,21,166
Luxembourg,LUX,2011,517142,98,389,3,715
Luxembourg,LUX,2012,529078,73,1205,358,232
Luxembourg,LUX,2013,541928,49,720,179,484
Luxembourg,LUX,2014,554569,158,488,212,892
Luxembourg,LUX,2015,564707,495,2292,345,1765
Luxembourg,LUX,2016,577324,1253,2254,501,682
Luxembourg,LUX,2017,587833,1649,4393,725,1736
Luxembourg,LUX,2018,601860,1516,2273,453,1848
Luxembourg,LUX,2019,617547,407,1213,207,627
Luxembourg,LUX,2020,630083,141,178,17,0
Luxembourg,LUX,2021,636285,880,2176,196,527
Luxembourg,LUX,2022,651274,225,804,118,682
Luxembourg,LUX,2023,664517,508,689,149,567
Madagascar,MDG,1980,419951,189397,1509862,1327399,5559423
Madagascar,MDG,1993,176858,74650,899555,1105846,11065387
Madagascar,MDG,1997,122951,87662,1189829,1497287,12093085
Madagascar,MDG,1999,119901,125983,1416951,1773942,12563729
Madagascar,MDG,2001,1358045,500072,3167290,2220393,9787140
Madagascar,MDG,2005,855650,460416,3703843,3542152,10597647
Madagascar,MDG,2010,794450,486799,3202944,3214579,14484568
Madagascar,MDG,2012,839660,472709,3352769,3156748,16112754
Madagascar,MDG,2021,664827,372492,3841105,4447074,20925218
Malawi,MWI,1997,492178,212833,1470318,1635648,6942656
Malawi,MWI,2004,260352,123433,1284586,1552324,9358080
Malawi,MWI,2010,437276,148501,1623364,1838268,10879923
Malawi,MWI,2016,404442,212528,2016070,2386497,12687615
Malawi,MWI,2019,327408,234990,1867481,2281875,14471520
Malaysia,MYS,1984,7205939,1325654,3957480,1287576,982360
Malaysia,MYS,1987,7794116,1493716,4540070,1495669,953166
Malaysia,MYS,1989,8253712,1639730,4957630,1608736,855188
Malaysia,MYS,1992,9715814,1639173,4906217,1630886,942482
Malaysia,MYS,1995,10747771,1738674,5107656,1672599,1063900
Malaysia,MYS,1997,13313982,1668977,4584984,1440904,366371
Malaysia,MYS,2003,15172008,2009886,5423697,1290946,783065
Malaysia,MYS,2006,17719468,2161006,5228099,870398,438937
Malaysia,MYS,2008,18835828,2155165,5216970,1089976,410799
Malaysia,MYS,2011,22942067,1930920,3738115,443572,107366
Malaysia,MYS,2013,26359567,1479251,2155783,146872,32791
Malaysia,MYS,2015,28615345,1295792,1685418,109714,16589
Malaysia,MYS,2018,30664820,1098682,1327286,53811,9997
Malaysia,MYS,2021,32533231,949725,955116,29842,4510
Maldives,MDV,2002,36063,18504,120437,63778,55272
Maldives,MDV,2009,83980,39966,138851,45264,46473
Maldives,MDV,2016,354290,37195,49159,2277,387
Maldives,MDV,2019,396907,43712,55744,0,0
Mali,MLI,1994,107804,44715,460230,447872,8906410
Mali,MLI,2001,247763,165085,1767721,1575063,8186597
Mali,MLI,2006,454601,212383,2250425,2164533,9025106
Mali,MLI,2009,235283,225240,2611787,2752575,10064251
Mali,MLI,2018,2095092,1122188,6926610,4543901,6111273
Mali,MLI,2021,1681724,905274,6632423,5335349,8223746
Malta,MLT,2006,398764,2664,1294,360,2226
Malta,MLT,2007,398279,2891,2829,579,2146
Malta,MLT,2008,405869,667,1866,243,734
Malta,MLT,2009,406153,1589,2448,311,1976
Malta,MLT,2010,410431,1439,1492,74,1072
Malta,MLT,2011,412702,518,1462,713,873
Malta,MLT,2012,416816,998,1061,367,786
Malta,MLT,2013,422431,1309,475,469,126
Malta,MLT,2014,431491,1248,632,110,0
Malta,MLT,2015,442021,549,1225,50,375
Malta,MLT,2016,452658,490,530,311,516
Malta,MLT,2017,464489,713,871,263,770
Malta,MLT,2018,481501,275,974,382,771
Malta,MLT,2019,498680,1472,1437,788,1535
Malta,MLT,2020,509497,930,1469,1564,2030
Malta,MLT,2021,514875,623,1645,376,631
Malta,MLT,2022,526817,475,2674,563,584
Marshall Islands,MHL,2019,22391,5123,12949,1982,911
Mauritania,MRT,1987,108307,55605,419724,303789,915589
Mauritania,MRT,1993,134395,54467,431930,376442,1177094
Mauritania,MRT,1995,231594,105787,781490,477885,741578
Mauritania,MRT,2000,314604,140842,888838,490216,811600
Mauritania,MRT,2004,305209,149515,1016605,608011,828041
Mauritania,MRT,2008,558765,270928,1194348,562991,616473
Mauritania,MRT,2014,737287,415685,1683882,561164,450496
Mauritania,MRT,2019,889247,422241,2055246,715640,464788
Mauritius,MUS,2006,688037,167974,333931,33053,13818
Mauritius,MUS,2012,783582,143074,286260,29481,13485
Mauritius,MUS,2017,901883,121480,212864,21827,6833
Mexico,MEX,1984,24174626,5945290,22173931,10220366,10992635
Mexico,MEX,1989,26119052,6254490,27350684,9518943,12004015
Mexico,MEX,1992,32343784,6778769,26703009,8757019,11462227
Mexico,MEX,1994,33864360,7863812,26006046,9343163,12181827
Mexico,MEX,1996,24986062,6846515,28214579,12348511,20057037
Mexico,MEX,1998,29322384,6848175,28132668,10348362,20923659
Mexico,MEX,2000,36316239,7997543,28431417,9758991,16121362
Mexico,MEX,2002,38809221,8987952,30137133,10611400,13002918
Mexico,MEX,2004,42354984,9453163,32018422,9033848,11533711
Mexico,MEX,2005,45191047,9422927,30177970,8680679,12338881
Mexico,MEX,2006,48121358,9864215,30997779,8571359,9698953
Mexico,MEX,2008,50295581,9297415,30116237,9535599,11129456
Mexico,MEX,2010,50066485,10893071,34175381,8934231,9554728
Mexico,MEX,2012,53699707,11641351,33658122,9301648,8517380
Mexico,MEX,2014,51981882,12025769,37684756,9469158,8622699
Mexico,MEX,2016,63498012,12590087,33301907,7437184,5424162
Mexico,MEX,2018,67855301,12710256,32631712,6525492,4850951
Mexico,MEX,2020,67516881,12949681,34183843,6752039,5396612
Mexico,MEX,2022,80781656,12608631,27919408,4306230,2997195
Micronesia (country),FSM,2005,29709,9378,39741,15034,17550
Micronesia (country),FSM,2013,15308,8387,37024,19132,28270
Micronesia (country) (urban),,2000,3744,1076,4806,2738,12655
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1990,73979738,24399280,106898773,46753421,131247828
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1991,75598337,23456226,113002248,56108218,126086619
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1992,80910321,25199362,122305145,62955263,114477173
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1993,83760208,26069907,125543652,63618088,118158481
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1994,86895519,27072944,133624203,70426198,110098576
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1995,88909582,27410907,138092366,73337705,111218304
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1996,94895943,29020209,144547129,77533939,103862172
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1997,100999269,30944658,146906667,77387357,104626113
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1998,111445560,33249049,144488118,73682479,109181834
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1999,117111626,34603663,145474601,73272952,112967654
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2000,124743852,35543020,144053738,72594626,117915068
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2001,127347683,35605324,145401845,73647459,124475961
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2002,131330775,36116083,150060927,75620763,125064540
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2003,133485869,36431546,161813799,80951598,117656164
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2004,150894473,37337244,164924016,81963107,107967688
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2005,157010192,38138583,171068699,85568986,104423780
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2006,163900657,39255503,177598392,88974890,100169054
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2007,171917175,39813550,183395159,91302383,97315541
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2008,179915117,42238594,193801038,94294424,87549931
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2009,188308111,43537914,194093229,93146274,93042984
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2010,195326704,46739689,205287095,94119021,83356163
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2011,201236800,49807471,211457741,93753716,82798160
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2012,208979287,52725542,218501276,92904746,80162621
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2013,210281434,55480953,230472288,93780125,77449200
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2014,214811628,57318343,236286161,94270688,78029788
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2015,224614513,59620217,237210270,94311059,78476901
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2016,230158720,58405285,241249643,97332943,79876961
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2017,235405132,58518988,246673103,98919150,79371371
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2018,237572563,58741931,252812525,100601258,80634027
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2019,237622396,60524094,256772756,103115791,84679395
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2020,228571949,61668218,267660315,107329159,91175671
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2021,237169440,64256793,269128214,104825881,92198104
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2022,249924416,66087269,271307782,104051844,90978065
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2023,258813937,67965561,273650217,104896448,92475309
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2024,264997268,68853268,277078290,106300645,95889313
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2025,271113243,70740424,281363266,106289100,97197071
Moldova,MDA,1997,455322,234863,1157364,528092,560772
Moldova,MDA,1998,300404,158210,975268,564840,936505
Moldova,MDA,1999,228104,99859,706975,606944,1288740
Moldova,MDA,2000,163914,93668,829890,638151,1199045
Moldova,MDA,2001,253779,141951,967577,615445,939383
Moldova,MDA,2002,420062,232128,1142676,536293,580226
Moldova,MDA,2003,590286,257795,1302825,461043,291249
Moldova,MDA,2004,563974,263896,1292257,441342,334554
Moldova,MDA,2005,476185,210810,1217860,505117,479013
Moldova,MDA,2006,1295550,342654,965620,179085,98058
Moldova,MDA,2007,1555830,350450,796623,125922,45474
Moldova,MDA,2008,1478391,375127,824985,141642,48688
Moldova,MDA,2009,1519859,361712,810290,131225,42127
Moldova,MDA,2010,1567403,387541,799747,83758,23905
Moldova,MDA,2011,1697316,363427,723914,62741,13301
Moldova,MDA,2012,1657736,420310,723482,43883,14913
Moldova,MDA,2013,1849482,367133,601018,37704,4221
Moldova,MDA,2014,1831786,414723,592681,18483,142
Moldova,MDA,2015,1882936,413170,516259,22055,1558
Moldova,MDA,2016,1848743,418256,512159,19406,4622
Moldova,MDA,2017,1836045,399997,503753,13707,1687
Moldova,MDA,2018,1908849,377422,409750,10688,494
Moldova,MDA,2019,1896743,338205,419937,8576,763
Moldova,MDA,2020,1822738,372719,434705,4544,424
Moldova,MDA,2021,1865298,330093,392173,3971,4274
Moldova,MDA,2022,1619159,411588,489865,7042,1000
Moldova,MDA,2023,1598850,356604,481636,17517,3176
Mongolia,MNG,1995,266860,154166,906176,405830,491913
Mongolia,MNG,1998,59443,61325,698723,582626,921692
Mongolia,MNG,2002,328550,202956,1014627,449422,458174
Mongolia,MNG,2007,927242,299537,1020256,270586,104905
Mongolia,MNG,2010,991995,335058,1079104,236776,95689
Mongolia,MNG,2011,1144513,345336,1059141,176277,61050
Mongolia,MNG,2012,1450968,346616,882218,129158,30745
Mongolia,MNG,2014,1656606,400796,788466,94115,23130
Mongolia,MNG,2016,1303143,404787,1131248,189805,59873
Mongolia,MNG,2018,1477730,411055,1105768,159381,54255
Mongolia,MNG,2022,2157300,438522,759895,62929,15102
Montenegro,MNE,2012,391472,46354,114723,34059,34810
Montenegro,MNE,2013,398327,48922,121047,22131,32160
Montenegro,MNE,2014,415021,47350,103491,33801,24081
Montenegro,MNE,2015,422299,48636,100668,30469,22579
Montenegro,MNE,2016,460508,39223,86627,18247,20748
Montenegro,MNE,2017,467957,37717,73183,18038,29087
Montenegro,MNE,2018,454776,39653,88480,19044,24485
Montenegro,MNE,2019,472120,44061,79890,15055,15627
Montenegro,MNE,2020,472711,43654,79423,16746,14056
Montenegro,MNE,2021,497359,37029,65472,9605,15588
Morocco,MAR,1984,2514724,1398429,9031111,4021548,4888054
Morocco,MAR,1990,6532660,1990297,9536784,3863532,2778345
Morocco,MAR,1998,5132705,2222788,10728529,4755730,4842726
Morocco,MAR,2000,5595006,2098647,10859335,5367164,4827986
Morocco,MAR,2006,7981607,2879624,13076080,4291844,2919937
Morocco,MAR,2013,13429832,3911671,12727218,2677800,1249655
Mozambique,MOZ,1996,295525,93140,866229,790004,14571108
Mozambique,MOZ,2002,282793,121385,886956,1093121,16791151
Mozambique,MOZ,2008,406056,156587,1562549,2064993,18012567
Mozambique,MOZ,2014,1051958,365197,2685679,2587707,19431937
Mozambique,MOZ,2019,790461,271659,2314625,2264513,25070486
Mozambique,MOZ,2022,936910,282108,2355842,2526411,26633289
Myanmar,MMR,2015,5426753,3494797,21402053,11446452,9319001
Myanmar,MMR,2017,6616740,3847686,26346338,9756519,5327653
Namibia,NAM,1993,231574,44271,208535,129797,932129
Namibia,NAM,2003,310938,67166,361760,273353,920741
Namibia,NAM,2009,405150,90507,470500,320318,808424
Namibia,NAM,2015,790986,139446,623924,290625,546845
Nauru,NRU,2012,2310,977,4883,1255,1015
Nepal,NPL,1984,87098,85371,1053306,1755624,14300069
Nepal,NPL,1995,362106,281563,2619064,3317581,15913336
Nepal,NPL,2003,1553976,583231,4598514,4686838,14348173
Nepal,NPL,2010,2695719,1567570,11041896,6173393,5884206
Nepal,NPL,2022,9824639,4248072,12928948,1979657,723708
Netherlands,NLD,1983,13866438,71726,217417,103905,107584
Netherlands,NLD,1987,14557179,0,41634,0,66224
Netherlands,NLD,1990,14655121,35387,40609,40796,179597
Netherlands,NLD,1993,14756366,40962,192410,75099,225531
Netherlands,NLD,1999,15697080,0,37133,45793,32082
Netherlands,NLD,2004,16116753,32707,62244,14593,55482
Netherlands,NLD,2005,16175434,65348,44889,9991,24206
Netherlands,NLD,2006,16261699,38825,27452,10640,7485
Netherlands,NLD,2007,16298920,9910,63232,4944,4690
Netherlands,NLD,2008,16324573,16262,69932,6137,28689
Netherlands,NLD,2009,16448091,9342,32760,2478,37717
Netherlands,NLD,2010,16566051,17944,13107,10410,7882
Netherlands,NLD,2011,16625349,4946,34392,5108,23279
Netherlands,NLD,2012,16706028,670,32625,2932,12707
Netherlands,NLD,2013,16709156,43841,26576,9598,15261
Netherlands,NLD,2014,16767260,22917,39475,10206,25150
Netherlands,NLD,2015,16856299,16496,44542,11024,11563
Netherlands,NLD,2016,16938968,24627,41157,15737,9825
Netherlands,NLD,2017,17017391,40376,22691,15532,35306
Netherlands,NLD,2018,17144104,20838,39411,7948,19323
Netherlands,NLD,2019,17241324,30931,52400,3615,16604
Netherlands,NLD,2020,17384433,9189,28834,11928,7116
Netherlands,NLD,2021,17471176,7483,33219,4113,17053
Nicaragua,NIC,1993,606786,184867,973230,589544,2099305
Nicaragua,NIC,1998,805892,287529,1351730,741615,1696889
Nicaragua,NIC,2001,1059895,348998,1540987,799335,1338610
Nicaragua,NIC,2005,1416294,429680,1822295,792497,881339
Nicaragua,NIC,2009,1630638,513072,2017487,708339,787065
Nicaragua,NIC,2014,2583171,662335,1868686,553709,398591
Niger,NER,1992,63046,32700,379816,608084,7974670
Niger,NER,1994,60796,39491,407997,546374,8457458
Niger,NER,2005,195729,71512,864332,1090255,11534364
Niger,NER,2007,218092,105755,934486,1298569,12419783
Niger,NER,2011,279490,149089,1982660,2940731,11824314
Niger,NER,2014,384817,321381,3259247,3662550,11587913
Niger,NER,2018,844954,346879,3771474,4308513,13349272
Niger,NER,2021,593850,388551,4067830,4790579,15066246
Nigeria,NGA,1985,4246768,2713215,19938786,14939770,43643925
Nigeria,NGA,1992,5980331,3610953,22206074,14101242,56474168
Nigeria,NGA,1996,6819509,2997438,19942018,15003346,69742473
Nigeria,NGA,2003,6328724,4062148,32599042,25369246,71425928
Nigeria,NGA,2010,11501583,7583759,50666939,34214888,65044079
Nigeria,NGA,2012,12564503,8226909,54784437,36165882,66883309
Nigeria,NGA,2015,15157103,9508523,60660194,38681801,69050171
Nigeria,NGA,2018,13968549,9641436,70023024,43475358,71240545
Nigeria,NGA,2022,8890020,7107594,65497770,50289538,94725734
North America (WB),,1990,271282867,1929015,2382443,467318,1310069
North America (WB),,1991,274636386,1791838,2665962,519972,1462258
North America (WB),,1992,277739062,1964805,3202966,571329,1465518
North America (WB),,1993,281096886,2347327,3056134,490819,1671426
North America (WB),,1994,285212564,1995939,2720910,499745,1756698
North America (WB),,1995,288996753,1887827,2572465,507150,1675645
North America (WB),,1996,293019326,1700426,2280401,439352,1624527
North America (WB),,1997,296042701,1752322,2607517,408472,1812124
North America (WB),,1998,299517684,1595240,2358767,486611,2111522
North America (WB),,1999,303464963,1589413,2243541,383497,1820986
North America (WB),,2000,306784277,1513365,2261450,447499,1903105
North America (WB),,2001,309346797,1436830,2319084,551727,2397242
North America (WB),,2002,312149111,1541392,2570802,521896,2263327
North America (WB),,2003,314155172,1753073,2700416,497403,2706704
North America (WB),,2004,317075730,1742489,2612927,557392,2818118
North America (WB),,2005,320139793,1780950,2614870,486802,2799633
North America (WB),,2006,323492042,1520204,2661416,495067,2845223
North America (WB),,2007,326873262,1564609,2452725,506642,2785866
North America (WB),,2008,329365375,1807937,2637516,550214,3043534
North America (WB),,2009,333269037,1507244,2470471,502399,2716001
North America (WB),,2010,334898277,1853622,2951589,542780,3201572
North America (WB),,2011,337766187,1641803,3108752,645866,3079792
North America (WB),,2012,340793902,1612832,2969322,609208,3130864
North America (WB),,2013,343651310,1632603,2755033,647392,3184510
North America (WB),,2014,345966972,1505813,2786294,606543,3889546
North America (WB),,2015,349101919,1221027,2998062,600673,3661391
North America (WB),,2016,352520599,1322845,2627647,540671,3515822
North America (WB),,2017,354764574,1287189,2671858,588131,3905496
North America (WB),,2018,358065927,1246031,2405934,588420,3359704
North America (WB),,2019,360987779,1159393,2217790,516864,3027006
North America (WB),,2020,364239345,911063,3084506,490835,945003
North America (WB),,2021,366110231,992424,1792588,652021,857024
North America (WB),,2022,364815431,1147072,2315840,587304,4152369
North America (WB),,2023,369164124,1157595,2340816,508417,3783448
North America (WB),,2024,373708814,1137934,2314471,498871,3804134
North America (WB),,2025,375763517,1143869,2292237,501449,3806128
North Macedonia,MKD,2009,906380,198835,489044,127099,237424
North Macedonia,MKD,2010,992655,175342,429253,99576,249472
North Macedonia,MKD,2011,984224,188386,463744,89230,211814
North Macedonia,MKD,2012,1005657,194158,458612,95586,175808
North Macedonia,MKD,2013,1009247,211730,470308,89517,141914
North Macedonia,MKD,2014,1124781,171552,419828,77828,123568
North Macedonia,MKD,2015,1151424,179990,387634,59426,133956
North Macedonia,MKD,2016,1248747,142348,330913,75861,108444
North Macedonia,MKD,2017,1290193,139174,294587,67624,107079
North Macedonia,MKD,2018,1307825,152582,294240,53553,80851
North Macedonia,MKD,2019,1351434,140223,244841,65833,73931
Norway,NOR,1979,4001627,20133,31014,10477,9266
Norway,NOR,1986,4136130,10942,10077,0,10205
Norway,NOR,1991,4230927,0,10551,0,20254
Norway,NOR,1995,4316081,10468,11230,0,21405
Norway,NOR,2000,4457344,11718,11348,0,10557
Norway,NOR,2003,4540328,8087,5843,609,9988
Norway,NOR,2004,4554766,9494,13423,687,13540
Norway,NOR,2005,4593576,6182,10837,2891,9805
Norway,NOR,2006,4619890,8814,19495,4811,7667
Norway,NOR,2007,4681414,3035,11348,6088,7268
Norway,NOR,2008,4737573,7933,8678,2577,11451
Norway,NOR,2009,4804766,7575,10118,2069,4198
Norway,NOR,2010,4863188,6416,12266,0,7382
Norway,NOR,2011,4935518,5167,6038,0,6365
Norway,NOR,2012,4999381,551,9557,2702,6382
Norway,NOR,2013,5052890,4888,12372,1097,8376
Norway,NOR,2014,5113345,5827,10683,1576,5801
Norway,NOR,2015,5161586,6084,10178,1936,8823
Norway,NOR,2016,5185604,10564,16060,7599,14692
Norway,NOR,2017,5237158,6604,14985,2831,15390
Norway,NOR,2018,5283031,3027,10350,539,14969
Norway,NOR,2019,5315236,4131,15045,3300,10184
Norway,NOR,2020,5340963,9617,9224,3804,15867
Norway,NOR,2021,5378760,8506,10071,1776,9207
Norway,NOR,2022,5418878,2601,11612,7956,16080
Norway,NOR,2023,5497483,1819,7301,2114,10877
Pakistan,PAK,1987,1032514,809252,7501300,11025023,84762631
Pakistan,PAK,1990,1126211,842676,8781547,13503350,93854208
Pakistan,PAK,1996,3593475,2082858,31414969,39759971,63693175
Pakistan,PAK,1998,4960011,2872330,29517900,36499629,74694002
Pakistan,PAK,2001,2798518,2129598,27297352,38327738,90693514
Pakistan,PAK,2004,6620077,3592663,44381302,47926157,70849401
Pakistan,PAK,2005,6448596,3955162,44555234,50146869,72462091
Pakistan,PAK,2007,7680253,4334729,53999068,55780396,65201730
Pakistan,PAK,2010,9037372,5625830,71496919,61623395,53709044
Pakistan,PAK,2011,10851377,5978631,73985543,61544077,53346964
Pakistan,PAK,2013,12360178,8964067,86424624,59735920,45184523
Pakistan,PAK,2015,17300232,10277955,93196624,60952195,36987874
Pakistan,PAK,2018,16218478,10410197,99880916,64555587,37799718
Palestine,PSE,2004,1840376,375232,872406,91879,56733
Palestine,PSE,2005,1906917,418419,839539,113707,41814
Palestine,PSE,2006,1999214,419009,870185,101781,16145
Palestine,PSE,2007,1842888,409175,991912,148226,102295
Palestine,PSE,2009,2272715,461197,870096,62588,22503
Palestine,PSE,2010,2342952,422001,906997,89689,24522
